"","lon","lat","t","m"
"1",-116.27,34.594,0.001,3.7
"2",-116.265,34.60333,0.295601851851852,7.1
"3",-116.366,34.221,0.2984375,3
"4",-116.26367,34.44517,0.29912037037037,4.77
"5",-116.286,34.609,0.29943287037037,4.15
"6",-116.203,34.502,0.299872685185185,4.98
"7",-116.289,34.617,0.301273148148148,4.25
"8",-116.311,34.536,0.301863425925926,4.02
"9",-116.26,34.53,0.303449074074074,3
"10",-116.2895,34.67817,0.304525462962963,5.77
"11",-116.262,34.584,0.306655092592593,4.48
"12",-116.29483,34.6235,0.308217592592593,4.11
"13",-116.15,34.353,0.309606481481481,3.03
"14",-116.32033,34.803,0.310011574074074,4.46
"15",-116.341,34.706,0.310416666666667,4.74
"16",-116.292,34.671,0.311689814814815,3.99
"17",-116.278,34.594,0.312141203703704,3
"18",-116.2865,34.63883,0.312314814814815,4.36
"19",-116.391,34.695,0.312893518518519,3
"20",-116.23483,34.50367,0.313368055555556,4.03
"21",-116.299,34.64233,0.317858796296296,4.01
"22",-116.148,34.362,0.319305555555556,4.76
"23",-116.266,34.54,0.31962962962963,4.5
"24",-116.23283,34.7365,0.321319444444444,3.96
"25",-116.5545,34.18733,0.3228125,3.93
"26",-116.585,34.2045,0.323680555555556,3.38
"27",-116.17733,34.625,0.324641203703704,3.1
"28",-116.3755,34.5265,0.325428240740741,4.28
"29",-116.32583,34.6475,0.326516203703704,4.04
"30",-116.75367,34.36883,0.327314814814815,3.52
"31",-116.32933,34.61617,0.328275462962963,4.08
"32",-116.38017,34.20283,0.329791666666667,3.75
"33",-116.2565,34.5205,0.342453703703704,3.77
"34",-116.30467,34.702,0.344351851851852,3.66
"35",-116.7435,34.6075,0.346319444444444,3.14
"36",-116.205,34.432,0.34962962962963,3.88
"37",-116.3,34.47367,0.350266203703704,3
"38",-116.28367,34.5885,0.350810185185185,3
"39",-116.282,34.583,0.351087962962963,4.33
"40",-116.294,34.603,0.351608796296296,3.82
"41",-116.33117,34.64617,0.353622685185185,3.59
"42",-116.38667,34.70016,0.35462962962963,3.36
"43",-116.26017,34.469,0.36056712962963,3.5
"44",-116.29,34.588,0.360810185185185,3.86
"45",-116.247,34.454,0.361215277777778,3
"46",-116.253,34.495,0.36150462962963,3.87
"47",-116.29383,34.579,0.363530092592593,3
"48",-116.341,34.813,0.364594907407407,4.63
"49",-116.36767,34.80033,0.365717592592593,3.5
"50",-116.141,34.37,0.365844907407407,4.2
"51",-116.27767,34.51183,0.371921296296296,3
"52",-116.307,34.506,0.373449074074074,3.89
"53",-116.347,34.681,0.379618055555556,3.78
